Company,Job Title,Status,Date,portal,EMAIL,link
EY - Ernst & Young Solutions LLP,Data Analytics Intern,Ghosted,NA,NA,NA,NA
EY - Ernst & Young Solutions LLP,Assurance Technology Risk Intern,Ghosted,NA,NA,NA,NA
VISA,Software Engineer Intern,Ghosted,NA,NA,NA,NA
DBS,Technology and Data Science Internships,Rejected,NA,NA,NA,NA
SIGITECH HOLDINGS PTE LTD,Undefined,Rejected,NA,NA,NA,NA
AGP CAPITAL MANAGEMENT PTE LTD,Data Center Project Management Intern,Rejected,NA,NA,NA,NA
DSTA,Data / Developer / AI Roles,Rejected,NA,NA,NA,NA
Accenture Internship,(Undefined),Ghosted,1 feb,NA,NA,NA
Collybus Pte Ltd,Software Engineer Intern,Ghosted,NA,NA,NA,NA
Department of Statistics,Accelerating Web App Deployments with AI Test Automation Intern,Pending,8 feb,NA,NA,NA
SINGAPORE AIRLINES LIMITED,Finance Project Management Office Intern,Pending,NA,INPLACE,Carolyn_Huang@singaporeair.com.sg,NA
SINGAPORE AIRLINES LIMITED,Procurement Systems Project Intern,Pending,NA,NA,NA,NA
Infinergy systems solutions pte ltd,AI intern,Interviewed,NA,NA,NA,NA
SEVENTH SENSE ARTIFICIAL INTELLIGENCE PRIVATE LIMITED,Full-Stack Software Developer (AI-Assisted / Agentic Development),Pending,NA,NA,NA,NA
Monee,Product Manager,Pending,20 feb,NA,NA,NA
Audax Financial Technology Pte Ltd,Software Engineer Intern(JAVA),Pending,25 feb,NA,NA,https://audax.io/
Keystone Investors Pte Ltd,Developer Intern(semester),Pending,25 feb,NA,NA,https://keystone-investors.com/
Keysight Technologies Singapore (International) Pte Ltd (Keysight),Software Engineer Intern,Pending,25 feb,NA,NA,https://www.keysight.com/ ?
Income Insurance Limited,Summer Internship 2026 - System Automation & Enhancement (Shared Services),Pending,25 feb,NA,NA,https://www.income.com.sg/
Phillipcapital,Automation Engineer Intern,Pending,25 feb,NA,NA,https://www.phillip.com.sg/
Govtech,Tech – Software Engineer : GovWallet [GDPP],Pending,2 mar,NA,NA,https://www.tech.gov.sg/
Govtech,Tech – Software Engineer : Tradenet Rebuild [GDPA],Pending,2 mar,NA,NA,https://www.tech.gov.sg/
HTX,AI cloud analytics,Pending,3 mar,NA,NA,NA
AZENDIAN SOLUTIONS PTE. LTD.,data science intern,Pending,3 march,NA,NA,NA
MOM,"Intern, AI & Process Automation WPD",Pending,3 mar,NA,NA,NA
